Channel1_Column3,Channel2_Column3,Channel3_Column3,Channel4_Column3,Channel5_Column3,Channel6_Column3
0.006511,0.002153,0.003759,0.005685,0.009602,0.007052
0.006296,0.002302,0.003759,0.005833,0.010239,0.006906
0.00608,0.002673,0.00394,0.00613,0.010512,0.006613
0.005937,0.002822,0.00394,0.006205,0.010785,0.006467
0.005506,0.003045,0.00394,0.006279,0.011239,0.00632
0.005218,0.003417,0.004121,0.006427,0.011421,0.005954
0.005075,0.003715,0.004121,0.006576,0.011512,0.005808
0.004572,0.003863,0.004121,0.006576,0.011694,0.005588
0.004356,0.004309,0.004211,0.006724,0.011603,0.005222
0.004141,0.004533,0.004211,0.006724,0.011603,0.005002
0.00371,0.004756,0.004301,0.006724,0.011421,0.004783
0.003495,0.005127,0.004392,0.006724,0.011239,0.004343
0.003279,0.005276,0.004392,0.00665,0.010967,0.004124
0.00292,0.005425,0.004482,0.006576,0.01033,0.003904
0.002704,0.005648,0.004573,0.006427,0.009966,0.003391
0.002561,0.005722,0.004663,0.006353,0.009511,0.003172
0.00213,0.005797,0.004663,0.006205,0.008511,0.002952
0.001986,0.005871,0.004844,0.005907,0.007965,0.002366
0.001843,0.005797,0.004844,0.005759,0.007419,0.002147
0.001555,0.005722,0.004844,0.005536,0.006146,0.001854
0.001412,0.005648,0.004934,0.005165,0.005509,0.001341
0.001268,0.005425,0.004844,0.004942,0.004872,0.001048
0.000981,0.00535,0.004844,0.004719,0.004236,0.000829
0.000837,0.005202,0.004663,0.004422,0.002962,0.000316
0.000765,0.00483,0.004663,0.003902,0.002235,9.6e-05
0.00055,0.004607,0.004482,0.003679,0.001689,-0.000123
0.000406,0.004384,0.004211,0.003382,0.000597,-0.000343
0.000334,0.003938,0.00403,0.002862,5.2e-05,-0.000782
0.000119,0.00364,0.003759,0.002565,-0.000312,-0.001002
4.7e-05,0.003417,0.003488,0.002343,-0.00104,-0.001148
-9.7e-05,0.002822,0.002945,0.001897,-0.001404,-0.001514
-0.000169,0.002525,0.002584,0.001674,-0.001586,-0.001734
-0.000384,0.002302,0.002222,0.001451,-0.001858,-0.001881
-0.000456,0.001632,0.001499,0.001154,-0.001949,-0.0021
-0.000528,0.001335,0.001047,0.001006,-0.001949,-0.002247
-0.000743,0.000963,0.000685,0.000857,-0.001858,-0.00232
-0.000887,0.000443,-0.000219,0.000634,-0.001676,-0.002466
-0.00103,7.1e-05,-0.000671,0.000486,-0.001495,-0.00254
-0.001174,-0.000227,-0.001123,0.000412,-0.001131,-0.00254
-0.001318,-0.000747,-0.002027,0.000263,-0.000858,-0.002613
-0.00139,-0.001045,-0.002388,0.000263,-0.000585,-0.002686
-0.001605,-0.001342,-0.00284,0.000189,-0.00013,-0.002613
-0.001677,-0.001863,-0.003654,0.000115,0.000143,-0.002686
-0.001749,-0.00216,-0.004015,4e-05,0.000416,-0.002613
-0.001892,-0.002383,-0.004467,4e-05,0.00087,-0.002613
-0.001964,-0.002829,-0.00501,-3.4e-05,0.001052,-0.002686
-0.001964,-0.003052,-0.005371,-0.000108,0.001143,-0.002613
-0.002108,-0.003275,-0.005552,-0.000108,0.001325,-0.002686
-0.002108,-0.003499,-0.006004,-0.000182,0.001416,-0.002686
-0.002108,-0.003796,-0.006185,-0.000257,0.001416,-0.002759
-0.002108,-0.003945,-0.006275,-0.000331,0.001234,-0.002832
-0.002108,-0.004093,-0.006456,-0.00048,0.001143,-0.002979
-0.002108,-0.004242,-0.006456,-0.000554,0.00087,-0.003125
-0.001964,-0.004317,-0.006456,-0.000628,0.000688,-0.003199
-0.001892,-0.004391,-0.006456,-0.000702,0.000143,-0.003491
-0.00182,-0.004465,-0.006275,-0.000925,-3.9e-05,-0.003565
-0.001605,-0.00454,-0.006185,-0.000999,-0.000403,-0.003711
-0.001533,-0.00454,-0.006095,-0.001074,-0.001131,-0.004077
-0.001461,-0.00454,-0.005733,-0.001371,-0.001495,-0.004297
-0.001246,-0.00454,-0.005552,-0.001445,-0.001858,-0.004443
-0.001174,-0.00454,-0.005281,-0.001594,-0.002586,-0.004809
-0.001102,-0.00454,-0.004829,-0.001891,-0.003041,-0.005029
-0.00103,-0.004465,-0.004558,-0.002039,-0.003405,-0.005249
-0.000887,-0.004465,-0.004287,-0.002188,-0.004132,-0.005688
-0.000815,-0.004391,-0.003744,-0.002559,-0.004496,-0.005908
-0.000815,-0.004317,-0.003473,-0.002708,-0.004769,-0.006127
-0.000743,-0.004317,-0.003111,-0.002856,-0.005406,-0.00664
-0.000743,-0.004168,-0.002479,-0.003302,-0.00577,-0.00686
-0.000815,-0.004093,-0.002117,-0.00345,-0.005951,-0.007006
-0.000887,-0.004019,-0.001846,-0.003599,-0.006406,-0.007519
-0.000959,-0.00387,-0.001213,-0.004044,-0.006588,-0.007665
-0.000959,-0.003722,-0.000942,-0.004193,-0.00677,-0.007885
-0.001174,-0.003647,-0.00058,-0.004416,-0.007043,-0.008251
-0.001246,-0.003499,-0.000219,-0.004713,-0.007134,-0.008397
-0.001318,-0.003275,0.000233,-0.004861,-0.007225,-0.008544
-0.001533,-0.003127,0.000505,-0.00501,-0.007316,-0.008836
-0.001677,-0.002978,0.000776,-0.005233,-0.007407,-0.00891
-0.001749,-0.002755,0.001137,-0.005381,-0.007407,-0.009056
-0.001964,-0.002606,0.001318,-0.005455,-0.007316,-0.009203
-0.002108,-0.002458,0.001409,-0.005604,-0.007316,-0.009203
-0.00218,-0.002234,0.001589,-0.005678,-0.007225,-0.009203
-0.002395,-0.00216,0.001589,-0.005753,-0.007043,-0.009203
-0.002467,-0.002011,0.001589,-0.005827,-0.006861,-0.009129
-0.002467,-0.001788,0.001499,-0.005901,-0.00677,-0.009056
-0.002611,-0.001714,0.001409,-0.005975,-0.006406,-0.008983
-0.002682,-0.00164,0.001318,-0.005975,-0.006224,-0.00869
-0.002682,-0.001565,0.000957,-0.00605,-0.006133,-0.00847
-0.002682,-0.001491,0.000776,-0.00605,-0.005679,-0.008324
-0.002754,-0.001491,0.000595,-0.006124,-0.005315,-0.007738
-0.002754,-0.001416,5.3e-05,-0.006198,-0.005133,-0.007445
-0.002754,-0.001416,-0.000219,-0.006272,-0.004587,-0.007152
-0.002682,-0.001491,-0.00049,-0.006272,-0.004223,-0.00642
-0.002682,-0.001491,-0.001032,-0.006272,-0.003859,-0.006054
-0.002682,-0.001565,-0.001303,-0.006272,-0.003041,-0.005615
-0.002611,-0.001565,-0.001575,-0.006347,-0.002586,-0.004736
-0.002611,-0.00164,-0.002117,-0.006272,-0.002131,-0.004297
-0.002611,-0.001714,-0.002388,-0.006198,-0.001131,-0.003784
-0.002539,-0.001714,-0.002569,-0.006124,-0.000676,-0.002832
-0.002467,-0.001788,-0.003021,-0.005975,-0.00013,-0.00232
-0.002467,-0.001788,-0.003111,-0.005827,0.001052,-0.001807
-0.002395,-0.001788,-0.003292,-0.005678,0.001598,-0.000709
-0.002323,-0.001788,-0.003473,-0.005381,0.002235,-0.000196
-0.002251,-0.001714,-0.003563,-0.005233,0.003508,0.000389
-0.002108,-0.00164,-0.003473,-0.00501,0.004145,0.001488
-0.002036,-0.001565,-0.003473,-0.004564,0.004782,0.002
-0.001964,-0.001491,-0.003383,-0.004341,0.006055,0.002659
-0.001892,-0.001342,-0.003292,-0.004044,0.006692,0.003757
-0.001677,-0.001268,-0.002931,-0.00345,0.007237,0.00427
-0.001605,-0.001045,-0.00275,-0.003153,0.008329,0.004856
-0.001533,-0.000896,-0.002569,-0.002856,0.008784,0.005881
-0.001246,-0.000822,-0.002027,-0.002188,0.009238,0.006393
-0.001174,-0.000524,-0.001846,-0.001816,0.009693,0.006906
-0.00103,-0.000375,-0.001484,-0.001445,0.010421,0.007785
-0.000743,-0.000301,-0.001213,-0.000628,0.010785,0.008224
-0.000671,-4e-06,-0.000671,-0.000182,0.010967,0.00859
-0.000528,7.1e-05,-0.000309,0.000189,0.011512,0.009322
-0.00024,0.00022,-0.000128,0.00108,0.011694,0.009688
-9.7e-05,0.000443,0.000505,0.001451,0.011876,0.009981
-2.5e-05,0.000443,0.000685,0.001897,0.012149,0.010494
0.000262,0.000591,0.000957,0.002714,0.01224,0.010713
0.000334,0.000666,0.001318,0.00316,0.012331,0.010933
0.000478,0.00074,0.001409,0.003531,0.01224,0.011226
0.000693,0.00074,0.001499,0.004274,0.01224,0.011299
0.000765,0.00074,0.00168,0.004645,0.01224,0.011372
0.000909,0.000814,0.00168,0.004942,0.011967,0.011446
0.001053,0.00074,0.00177,0.005536,0.011785,0.011519
0.001196,0.00074,0.00168,0.005759,0.011603,0.011446
0.001268,0.000666,0.00168,0.006056,0.011239,0.011446
0.001412,0.000666,0.001589,0.006502,0.010967,0.011372
0.001483,0.000591,0.001499,0.006724,0.010785,0.011299
0.001555,0.000591,0.001499,0.006947,0.010239,0.011153
0.001699,0.000591,0.001409,0.007393,0.009875,0.011006
0.001843,0.000591,0.001409,0.007541,0.009602,0.01086
0.001843,0.000591,0.001409,0.007764,0.009057,0.01064
