Channel1_Column3,Channel2_Column3,Channel3_Column3,Channel4_Column3,Channel5_Column3,Channel6_Column3
-0.028684,-0.006063,0.005182,0.031933,-0.025095,0.010097
-0.026414,-0.00891,0.007769,0.031789,-0.022623,0.008119
-0.020806,-0.01474,0.013215,0.030782,-0.021314,0.007055
-0.017735,-0.017723,0.015938,0.029775,-0.020005,0.00599
-0.014531,-0.020434,0.018524,0.02848,-0.016951,0.003556
-0.007988,-0.025993,0.02329,0.025171,-0.015206,0.002188
-0.00465,-0.028569,0.025059,0.023156,-0.013461,0.000819
-0.001178,-0.031009,0.026829,0.020998,-0.00968,-0.001919
0.005632,-0.035484,0.029144,0.01625,-0.007644,-0.003288
0.008836,-0.037517,0.029688,0.013804,-0.005754,-0.004657
0.012175,-0.039415,0.029825,0.011214,-0.001537,-0.007395
0.01805,-0.042805,0.028735,0.006179,0.000645,-0.008763
0.02072,-0.044296,0.02751,0.003589,0.002826,-0.010132
0.023124,-0.045652,0.026149,0.000999,0.007334,-0.01287
0.027396,-0.047957,0.022336,-0.003893,0.009516,-0.014239
0.028999,-0.049042,0.020158,-0.006339,0.011697,-0.015456
0.030601,-0.049991,0.01798,-0.008641,0.015769,-0.018041
0.032737,-0.051618,0.013079,-0.012957,0.017805,-0.019258
0.033272,-0.052431,0.010492,-0.014827,0.019695,-0.020475
0.033539,-0.053109,0.007905,-0.016698,0.021295,-0.021692
0.032604,-0.054465,0.002459,-0.019863,0.024349,-0.023821
0.031536,-0.055007,-0.000128,-0.021302,0.025658,-0.024886
0.0302,-0.055414,-0.002987,-0.022741,0.026675,-0.025798
0.026595,-0.055821,-0.008296,-0.025043,0.027839,-0.027623
0.024459,-0.055685,-0.011019,-0.026194,0.02813,-0.028384
0.022322,-0.055549,-0.01347,-0.027345,0.02813,-0.029144
0.020053,-0.055278,-0.016057,-0.028352,0.027403,-0.030513
0.015379,-0.054329,-0.020822,-0.030078,0.026675,-0.031122
0.013109,-0.053516,-0.023,-0.030798,0.025803,-0.031578
0.010706,-0.052702,-0.025178,-0.031517,0.023622,-0.032338
0.006032,-0.050804,-0.029127,-0.032812,0.022167,-0.032643
0.003629,-0.049719,-0.03076,-0.033388,0.020713,-0.032947
0.001359,-0.048499,-0.032394,-0.033819,0.017514,-0.033251
-0.002914,-0.045923,-0.035389,-0.034682,0.015769,-0.033403
-0.004917,-0.044432,-0.036751,-0.03497,0.013878,-0.033403
-0.00692,-0.04294,-0.03784,-0.035258,0.009952,-0.033251
-0.010792,-0.039822,-0.040018,-0.03569,0.007916,-0.033251
-0.012661,-0.03806,-0.040971,-0.03569,0.00588,-0.032947
-0.014397,-0.036297,-0.041788,-0.03569,0.001808,-0.032338
