dx_over_L,2P_err_Hi_pct_n0,3P_err_Hi_pct_n0,3P_retained_n0,2P_err_Hi_pct_n3,3P_err_Hi_pct_n3,3P_retained_n3,2P_err_Hi_pct_n10,3P_err_Hi_pct_n10,3P_retained_n10,2P_err_Hi_pct_n30,3P_err_Hi_pct_n30,3P_retained_n30
0.0200,-99.17,-65.06,0.119,-96.62,-65.07,0.118,-88.99,-64.08,0.111,-67.00,-54.66,0.088
0.0320,-98.26,-4.63,0.892,-96.53,-4.57,0.880,-89.59,-4.15,0.778,-68.95,-0.83,0.402
0.0441,-44.08,1.99,0.999,-44.19,1.94,0.986,-43.85,2.07,0.872,-38.60,4.40,0.447
0.0561,-17.49,-1.47,1.000,-17.51,-1.63,0.985,-17.23,-1.79,0.862,-13.89,-0.51,0.420
0.0682,0.29,-3.76,0.999,0.30,-3.69,0.984,0.59,-3.33,0.856,3.46,-0.87,0.414
0.0802,-0.86,-3.39,0.999,-0.79,-3.34,0.985,-0.37,-3.01,0.863,2.81,-0.61,0.428
0.0923,3.74,0.90,1.000,3.60,0.78,0.987,3.50,0.67,0.870,4.83,1.55,0.436
0.1043,-1.37,-0.54,1.000,-1.30,-0.56,0.986,-0.90,-0.48,0.869,1.98,0.89,0.432
0.1164,4.74,-0.19,0.999,4.76,-0.06,0.986,5.00,0.41,0.866,7.30,2.93,0.434
0.1284,0.40,-1.27,0.999,0.42,-1.39,0.985,0.66,-1.53,0.862,2.92,-0.89,0.415
0.1405,5.02,1.44,0.999,4.99,1.46,0.987,5.09,1.62,0.876,6.81,3.04,0.447
0.1525,-1.98,-2.70,0.999,-2.01,-2.65,0.985,-1.88,-2.43,0.862,0.04,-0.95,0.422
0.1645,1.41,0.53,1.000,1.44,0.50,0.986,1.68,0.55,0.864,3.66,1.68,0.419
0.1766,3.88,-0.91,1.000,3.80,-0.96,0.986,3.78,-1.01,0.864,4.90,-0.41,0.422
0.1886,-1.73,0.09,1.000,-1.69,0.18,0.986,-1.43,0.51,0.867,0.50,2.21,0.432
0.2007,2.25,-2.91,0.999,2.22,-2.80,0.985,2.27,-2.42,0.865,3.45,-0.52,0.425
0.2127,0.42,-0.12,0.999,0.55,-0.07,0.985,0.99,0.12,0.867,3.38,1.30,0.428
0.2248,1.25,2.11,0.999,1.32,2.13,0.986,1.62,2.26,0.869,3.58,3.27,0.432
0.2368,2.03,0.21,1.000,2.09,0.20,0.987,2.37,0.27,0.871,4.18,1.09,0.432
0.2489,1.47,0.02,1.000,1.48,-0.03,0.986,1.65,-0.06,0.865,3.11,0.46,0.421
0.2609,2.71,-0.52,1.000,2.68,-0.51,0.987,2.74,-0.38,0.872,3.81,0.68,0.440
0.2730,0.51,-0.56,1.000,0.53,-0.60,0.987,0.67,-0.61,0.872,1.99,-0.05,0.435
0.2850,-0.91,-1.27,0.999,-0.78,-1.22,0.985,-0.39,-1.04,0.865,1.59,0.11,0.422
0.2970,2.88,-1.63,0.996,2.89,-1.56,0.982,3.05,-1.33,0.859,4.50,-0.05,0.418
0.3091,1.69,-2.17,0.995,1.74,-2.10,0.982,1.95,-1.88,0.862,3.31,-0.78,0.422
0.3211,-3.32,0.72,0.999,-3.32,0.70,0.985,-3.21,0.70,0.865,-2.02,1.18,0.425
0.3332,0.18,1.59,0.980,0.25,1.55,0.966,0.54,1.52,0.848,2.42,2.00,0.411
0.3452,-0.57,-5.51,0.946,-0.67,-5.57,0.932,-0.78,-5.68,0.812,-0.16,-5.49,0.390
0.3573,-2.12,-5.26,0.883,-2.04,-5.18,0.871,-1.74,-4.92,0.770,0.01,-3.65,0.385
0.3693,-8.98,-5.80,0.847,-8.86,-5.81,0.836,-8.43,-5.79,0.739,-6.20,-5.23,0.372
0.3814,-14.17,-9.56,0.802,-14.10,-9.53,0.792,-13.80,-9.38,0.701,-12.00,-8.45,0.357
0.3934,-17.22,-15.27,0.722,-17.28,-15.21,0.713,-17.29,-15.00,0.628,-16.37,-13.92,0.312
0.4055,-16.55,-16.85,0.688,-16.48,-16.92,0.679,-16.20,-17.03,0.600,-14.40,-16.84,0.298
0.4175,-20.67,-23.50,0.630,-20.64,-23.58,0.621,-20.45,-23.71,0.539,-19.06,-23.53,0.255
0.4295,-25.46,-23.60,0.581,-25.52,-23.69,0.573,-25.53,-23.83,0.506,-24.60,-23.69,0.254
0.4416,-30.26,-27.90,0.560,-30.35,-27.86,0.552,-30.44,-27.69,0.482,-29.80,-26.47,0.233
0.4536,-28.67,-30.07,0.493,-28.58,-30.11,0.487,-28.21,-30.13,0.431,-25.92,-29.51,0.218
0.4657,-34.72,-32.80,0.482,-34.53,-32.83,0.475,-33.93,-32.82,0.418,-31.15,-32.19,0.205
0.4777,-39.52,-35.84,0.405,-39.48,-35.94,0.401,-39.28,-36.10,0.355,-37.80,-35.96,0.182
0.4898,-36.47,-39.14,0.386,-36.42,-39.13,0.380,-36.17,-39.02,0.333,-34.40,-38.12,0.163
0.5018,-42.64,-42.76,0.302,-42.49,-42.72,0.296,-41.99,-42.56,0.259,-39.55,-41.52,0.128
0.5139,-46.98,-45.24,0.307,-47.05,-45.17,0.303,-47.06,-44.91,0.266,-46.03,-43.47,0.133
0.5259,-49.40,-52.74,0.218,-49.28,-52.73,0.216,-48.88,-52.58,0.190,-46.71,-51.39,0.097
0.5380,-54.84,-54.57,0.218,-54.76,-54.56,0.216,-54.43,-54.45,0.192,-52.27,-53.53,0.100
0.5500,-48.57,-56.61,0.203,-48.56,-56.49,0.200,-48.40,-56.09,0.177,-46.85,-54.10,0.093
